A̱o,Precio_promedio_contrato,Precio_promedio_no_regulado,Precio_promedio_regulado
2022,256.0284040011076,246.36467003863922,265.7915254312655
2021,232.39606028366023,214.15162040272105,248.92085395878146
2020,206.53927155810572,191.09488965045543,219.76845031729172
2019,195.55518986291236,183.5989155506724,205.38928208040417
2018,179.3282083865815,166.6769444153156,189.83777763133165
2017,167.7500485157479,154.71346248708687,177.87629525989468
2016,156.21137778253708,143.0803803845687,167.38427408703427
2015,143.42521969658304,129.02287403222252,156.03756229115422
2014,131.45554521331925,117.6298159674013,143.91951098155528
2013,125.95587143144195,112.89451633983023,139.83168234244965
2012,120.78451780145313,106.82727179443705,133.7086875089188
2011,118.05674057927065,101.82895968364119,132.1819708624496
2010,109.93270957122529,99.16169991815792,121.27841166133604
2009,104.74073049349911,95.92547207916013,113.64829398418927
2008,88.8100498299325,83.01670525645746,93.50605448922175
2007,77.28399065138456,71.02021658368824,81.84380309671313
2003,72.50676972205112,67.41005094159067,76.29727320003362
2006,71.79017637006628,65.56618506884949,76.52042545975804
2004,72.85566187402524,63.34721178900647,78.9480060231533
2005,70.583208659854,62.30853450112868,76.53736386233571
2002,63.438081082578016,61.46170823979016,65.45285724645076
2001,53.32494752582746,49.52951100966429,55.87103974777249
2000,44.5934401883502,43.22089909140526,45.321761651423266
